"season","total_matches","match_prediction_accuracy","goals_prediction_accuracy","avg_goals_per_match","overall_accuracy","market_insight"
"1993-1994",380,0.0,0.0,2.56,0.0,High Uncertainty Sport
"1994-1995",380,0.0,0.0,2.66,0.0,High Uncertainty Sport
"1995-1996",380,0.0,0.0,2.60,0.0,High Uncertainty Sport
"1996-1997",380,0.0,0.0,2.55,0.0,High Uncertainty Sport
"1997-1998",380,0.0,0.0,2.68,0.0,High Uncertainty Sport
"1998-1999",380,0.0,0.0,2.52,0.0,High Uncertainty Sport
"1999-2000",380,0.0,0.0,2.79,0.0,High Uncertainty Sport
"2000-2001",380,0.0,0.0,2.61,0.0,High Uncertainty Sport
"2001-2002",380,0.0,0.0,2.63,0.0,High Uncertainty Sport
"2002-2003",380,51.6,31.1,2.63,51.6,Market is Predictive
"2003-2004",380,48.4,42.6,2.66,48.4,High Uncertainty Sport
"2004-2005",380,50.8,49.5,2.57,50.8,Market is Predictive
"2005-2006",380,56.3,0.0,2.48,56.3,Market is Predictive
"2006-2007",380,52.1,0.0,2.45,52.1,Market is Predictive
"2007-2008",380,57.9,0.0,2.64,57.9,Market is Predictive
"2008-2009",380,53.9,0.0,2.48,53.9,Market is Predictive
"2009-2010",380,55.5,0.0,2.77,55.5,Market is Predictive
"2010-2011",380,50.5,0.0,2.80,50.5,Market is Predictive
"2011-2012",380,51.8,0.0,2.81,51.8,Market is Predictive
"2012-2013",380,53.2,0.0,2.80,53.2,Market is Predictive
"2013-2014",380,60.0,0.0,2.77,60.0,Market is Predictive
"2014-2015",380,53.4,0.0,2.57,53.4,Market is Predictive
"2015-2016",380,46.8,0.0,2.70,46.8,High Uncertainty Sport
"2016-2017",380,60.5,0.0,2.80,60.5,Market is Predictive
"2017-2018",380,54.7,0.0,2.68,54.7,Market is Predictive
"2018-2019",380,58.4,0.0,2.82,58.4,Market is Predictive
"2019-2020",380,52.9,52.6,2.72,52.9,Market is Predictive
"2020-2021",380,51.6,49.2,2.69,51.6,Market is Predictive
"2021-2022",380,57.9,51.1,2.82,57.9,Market is Predictive
"2022-2023",380,55.5,58.2,2.85,55.5,Market is Predictive
"2023-2024",380,58.9,62.6,3.28,58.9,Market is Predictive
"2024-2025",370,53.2,57.0,2.95,53.2,Market is Predictive
