"season","total_matches","home_win_percentage","draw_percentage","away_win_percentage","avg_home_goals","avg_away_goals","goal_advantage"
"1993-1994",380,42.1,31.3,26.6,1.43,1.13,0.30
"1994-1995",380,43.9,28.4,27.6,1.54,1.11,0.43
"1995-1996",380,48.9,25.8,25.3,1.53,1.07,0.46
"1996-1997",380,42.6,31.3,26.1,1.47,1.08,0.39
"1997-1998",380,48.4,25.0,26.6,1.56,1.12,0.44
"1998-1999",380,44.5,30.3,25.3,1.46,1.07,0.39
"1999-2000",380,49.2,24.2,26.6,1.67,1.12,0.55
"2000-2001",380,48.4,26.6,25.0,1.54,1.07,0.47
"2001-2002",380,43.4,26.6,30.0,1.47,1.17,0.30
"2002-2003",380,49.2,23.7,27.1,1.50,1.13,0.37
"2003-2004",380,43.9,28.4,27.6,1.51,1.16,0.35
"2004-2005",380,45.5,28.9,25.5,1.50,1.07,0.43
"2005-2006",380,50.5,20.3,29.2,1.46,1.02,0.44
"2006-2007",380,47.9,25.8,26.3,1.45,1.00,0.45
"2007-2008",380,46.3,26.3,27.4,1.53,1.11,0.42
"2008-2009",380,45.5,25.5,28.9,1.40,1.08,0.32
"2009-2010",380,50.8,25.3,23.9,1.70,1.07,0.63
"2010-2011",380,47.1,29.2,23.7,1.62,1.17,0.45
"2011-2012",380,45.0,24.5,30.5,1.59,1.22,0.37
"2012-2013",380,43.7,28.4,27.9,1.56,1.24,0.32
"2013-2014",380,47.1,20.5,32.4,1.57,1.19,0.38
"2014-2015",380,45.3,24.5,30.3,1.47,1.09,0.38
"2015-2016",380,41.3,28.2,30.5,1.49,1.21,0.28
"2016-2017",380,49.2,22.1,28.7,1.60,1.20,0.40
"2017-2018",380,45.5,26.1,28.4,1.53,1.15,0.38
"2018-2019",380,47.6,18.7,33.7,1.57,1.25,0.32
"2019-2020",380,45.3,24.2,30.5,1.52,1.21,0.31
"2020-2021",380,37.9,21.8,40.3,1.35,1.34,0.01
"2021-2022",380,42.9,23.2,33.9,1.51,1.31,0.20
"2022-2023",380,48.4,22.9,28.7,1.63,1.22,0.41
"2023-2024",380,46.1,21.6,32.4,1.80,1.48,0.32
"2024-2025",370,41.4,24.6,34.1,1.53,1.42,0.11
