"team","season","season_points","goals_per_game","goals_conceded_per_game","goal_difference","shots_per_game","shot_accuracy","playing_style"
Liverpool,"2024-2025",83,2.30,1.07,1.23,17.2,35.9,High Attack
Arsenal,"2024-2025",71,1.81,0.89,0.92,14.1,34.4,High Attack
Man City,"2024-2025",68,1.88,1.19,0.69,15.8,36.1,High Attack
Newcastle,"2024-2025",66,1.85,1.24,0.61,13.8,33.1,High Attack
Aston Villa,"2024-2025",66,1.56,1.33,0.23,12.8,35.3,High Attack
Chelsea,"2024-2025",66,1.70,1.17,0.53,15.7,36.6,High Attack
Nott'm Forest,"2024-2025",65,1.56,1.21,0.35,12.2,36.2,High Attack
Brighton,"2024-2025",58,1.68,1.57,0.11,13.7,36.0,High Attack
Brentford,"2024-2025",55,1.75,1.50,0.25,11.5,41.3,Efficient Attack
Fulham,"2024-2025",54,1.46,1.41,0.05,13.7,33.5,Balanced
Bournemouth,"2024-2025",53,1.50,1.23,0.27,14.9,34.8,Balanced
Crystal Palace,"2024-2025",52,1.35,1.35,0.00,13.7,35.7,Balanced
Everton,"2024-2025",45,1.10,1.19,-0.09,10.6,35.3,Strong Defense
Wolves,"2024-2025",41,1.43,1.83,-0.40,11.2,37.3,Balanced
West Ham,"2024-2025",40,1.16,1.64,-0.48,12.6,30.0,Balanced
Man United,"2024-2025",39,1.14,1.46,-0.32,13.6,32.6,Balanced
Tottenham,"2024-2025",38,1.71,1.65,0.06,13.4,37.1,High Attack
Leicester,"2024-2025",25,0.89,2.12,-1.23,9.0,33.5,Balanced
Ipswich,"2024-2025",22,0.94,2.14,-1.20,9.8,33.9,Balanced
Southampton,"2024-2025",12,0.68,2.28,-1.60,9.1,32.5,Balanced
