"season","date","fixture","total_goals","goal_margin","total_shots","excitement_score"
"2016-2017","2016-11-26",Swansea vs Crystal Palace,9,1,30.0,28.5
"2011-2012","2011-08-28",Man United vs Arsenal,10,6,44.0,26.9
"2007-2008","2007-09-29",Portsmouth vs Reading,11,3,38.0,26.8
"2023-2024","2023-11-12",Chelsea vs Man City,8,0,32.0,26.2
"2012-2013","2013-05-19",West Brom vs Man United,10,0,27.0,26.2
"2017-2018","2018-05-13",Tottenham vs Leicester,9,1,30.0,25.5
"2004-2005","2004-11-13",Tottenham vs Arsenal,9,1,20.0,24.5
"2022-2023","2023-05-28",Southampton vs Liverpool,8,0,45.0,24.5
"2004-2005","2005-01-22",Norwich vs Middlesbrough,8,0,39.0,24.4
"2008-2009","2008-10-29",Arsenal vs Tottenham,8,0,29.0,24.4
